FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
51117,Mecklenburg County,Virginia,0.4925,-0.26297905966021334,-0.08557882259976295,0.2641447260025703,0.29898858460992483,0.05277447819446801,0.08915123142682678,0.4519774011299435,0.2134502923976608,0.3465909090909091,0.00566149143829669
51119,Middlesex County,Virginia,0.4237,-0.12513649268399213,0.04040183446167286,0.6318547632416246,0.26519347148358696,0.01698886936145284,0.1213073538654934,0.04777070063694268,0.06596306068601583,0.1,0.0023296447291788003
51127,New Kent County,Virginia,0.3853,0.1214784493137491,0.18901998555261257,0.6493627603357165,0.16939986810287977,0.013980088964202499,0.07527301092043681,0.17661691542288557,0.0,0.0,0.004315344995591852
51131,Northampton County,Virginia,0.4956,-0.17630385487528344,-0.01946334089191232,0.23024701455913626,0.11984782608695654,0.13104013104013104,0.09887816331854944,0.32295373665480426,0.14271555996035679,0.3527272727272727,0.018747850017199863
51133,Northumberland County,Virginia,0.5062,-0.0834796177101619,0.08835576360444705,0.4660259089009611,0.033196298241483624,0.11487179487179487,0.12919398380254532,0.06567796610169492,0.2131979695431472,0.313953488372093,0.0
51135,Nottoway County,Virginia,0.4868,-0.2350725183650405,-0.07063477114334149,0.14565647539414056,0.05602638500396606,0.08712574850299401,0.20234271679576799,0.2347266881028939,0.1613198900091659,0.0,0.003485955621103439
51143,Pittsylvania County,Virginia,0.4451,-0.26480963386449335,-0.04569598183513766,0.5399865204740848,0.2093604625885831,0.044155413801673433,0.06923607518537679,0.35182849936948296,0.16019575856443719,0.09221902017291066,0.0072121576371597836
51145,Powhatan County,Virginia,0.3647,0.18699869427345645,0.25816079089722066,0.7627672704226292,0.18765289136570895,0.05586897179253867,0.06562311860325105,0.11787072243346007,0.09713024282560706,0.17714285714285713,0.002265913686118664
51147,Prince Edward County,Virginia,0.4617,-0.21987909461549277,-0.06593561085336708,0.29784803764791884,0.18003457216940366,0.05242020714436694,0.07260883380997776,0.1606060606060606,0.2418001525553013,0.25757575757575757,0.016719212763924716
51149,Prince George County,Virginia,0.3815,-0.011847582452769772,0.036103105987832215,0.24130898743182358,0.1643842944260191,0.025210908377476946,0.04780299372283921,0.07147540983606557,0.1112883925009972,0.06921944035346098,0.002736836819243227
51159,Richmond County,Virginia,0.423,-0.1447883315546069,0.014585556741373178,0.331723208267805,-0.13187157023202078,0.0,0.10721123165283983,0.1294820717131474,0.21068249258160238,0.0,0.011759172154280339
