FIPS,Tract,County,State,measure,value
51041100920,Census Tract 1009.20,Chesterfield County,Virginia,PM25,8.26506438356164
51041100921,Census Tract 1009.21,Chesterfield County,Virginia,PM25,8.28411205479452
51041100922,Census Tract 1009.22,Chesterfield County,Virginia,PM25,8.28552630136986
51041100923,Census Tract 1009.23,Chesterfield County,Virginia,PM25,8.31690712328767
51041100924,Census Tract 1009.24,Chesterfield County,Virginia,PM25,8.08775780821918
51041100926,Census Tract 1009.26,Chesterfield County,Virginia,PM25,8.24117534246575
51041100928,Census Tract 1009.28,Chesterfield County,Virginia,PM25,8.11648575342466
51041100929,Census Tract 1009.29,Chesterfield County,Virginia,PM25,8.19018547945205
51041100930,Census Tract 1009.30,Chesterfield County,Virginia,PM25,8.20081534246575
51041100931,Census Tract 1009.31,Chesterfield County,Virginia,PM25,8.24388684931507
51041100932,Census Tract 1009.32,Chesterfield County,Virginia,PM25,8.23901643835617
51041100933,Census Tract 1009.33,Chesterfield County,Virginia,PM25,8.16103260273973
51041100934,Census Tract 1009.34,Chesterfield County,Virginia,PM25,8.19945068493151
51041100935,Census Tract 1009.35,Chesterfield County,Virginia,PM25,8.16200136986301
51041100936,Census Tract 1009.36,Chesterfield County,Virginia,PM25,8.19415342465753
51041100937,Census Tract 1009.37,Chesterfield County,Virginia,PM25,8.05857863013699
51041100938,Census Tract 1009.38,Chesterfield County,Virginia,PM25,8.05857863013699
51041101003,Census Tract 1010.03,Chesterfield County,Virginia,PM25,7.85091424657534
51041101004,Census Tract 1010.04,Chesterfield County,Virginia,PM25,7.81699534246575
51041101007,Census Tract 1010.07,Chesterfield County,Virginia,PM25,8.06807671232877
51041101008,Census Tract 1010.08,Chesterfield County,Virginia,PM25,8.00038520547945
51041101009,Census Tract 1010.09,Chesterfield County,Virginia,PM25,7.96338904109589
51041101011,Census Tract 1010.11,Chesterfield County,Virginia,PM25,8.04422301369863
51041101012,Census Tract 1010.12,Chesterfield County,Virginia,PM25,8.09908191780822
51041101013,Census Tract 1010.13,Chesterfield County,Virginia,PM25,8.10450739726027
