FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
51049,Cumberland County,Virginia,9669,0.1973316785603475,0.5796876615989244,0.2229806598407281,0.6348122866894198,0.2996173337470266,0.011583410900817045,0.007756748371082842,0.04623022029165374,0.04828444936358606,0.823464305478694,0.17349197565024904,0.08093525179856115,0.04
51053,Dinwiddie County,Virginia,28040,0.20923680456490729,0.6152995720399429,0.1754636233951498,0.6220042796005706,0.31462196861626246,0.03762482168330956,0.007988587731811698,0.017760342368045648,0.03803390853750566,0.8069125119484831,0.1757307440760678,0.06826985963676611,0.2879
51057,Essex County,Virginia,10621,0.18821203276527634,0.5818661143018549,0.22992185293286885,0.5406270595989078,0.38160248564165333,0.04039167686658507,0.005743338668675266,0.03163543922417852,0.04949205522271425,0.802031779109143,0.1586350612138578,0.0461057567074759,0.22719999999999999
51073,Gloucester County,Virginia,38586,0.20191261079147876,0.6054527548851916,0.1926346343233297,0.8356657855180636,0.08547141450266936,0.038900119214222775,0.006919608148032965,0.03304307261701135,0.031182452783388256,0.8518124800680344,0.2528613443889302,0.09386626979908579,0.35369999999999996
51075,Goochland County,Virginia,24300,0.17551440329218107,0.5986008230452675,0.22588477366255144,0.7733333333333333,0.15193415637860083,0.03148148148148148,0.017160493827160495,0.026090534979423867,0.023796528763235455,0.885984062875232,0.46070298002401483,0.2072917803733217,0.0301
51081,Greensville County,Virginia,11465,0.15499345835150458,0.6929786306149149,0.15202791103358046,0.35961622328826864,0.5451373746184038,0.026341037941561275,0.0006105538595726123,0.06829481029219363,0.06376219650555934,0.6190152030859996,0.10925799863852961,0.039369185386884505,0.12990000000000002
51083,Halifax County,Virginia,34228,0.20427719995325463,0.5538155895757859,0.24190721047095945,0.5958864087881267,0.34962603716255697,0.02267149701998364,0.0018990300338903822,0.02991702699544233,0.07240221655947902,0.760587307365611,0.16357238199247665,0.0603891113538001,0.22920000000000001
51085,Hanover County,Virginia,109232,0.21994470484839607,0.6013622381719642,0.17869305697963966,0.8273674381133733,0.08430679654313754,0.0322158341877838,0.016643474439724623,0.03946645671598067,0.02103986500738241,0.9012470997679815,0.40543925332208397,0.14764817549040288,0.6091
51087,Henrico County,Virginia,331924,0.22738337691760765,0.6173913305455466,0.15522529253684578,0.5146569696677553,0.29359130403345346,0.05976970631831383,0.09226810956725033,0.039713910413227124,0.028716639993079284,0.8935248064362645,0.44948743457762014,0.18371036809550587,0.9573
51089,Henry County,Virginia,51077,0.196350607905711,0.565890714020009,0.23775867807428,0.691387512970613,0.2267752608806312,0.05855864674902598,0.005775593711455254,0.017502985688274564,0.07570051019045329,0.7245238667628282,0.15148115500707857,0.05457168042311083,0.39280000000000004
51093,Isle Of Wight County,Virginia,38301,0.21229210725568523,0.598600558732148,0.18910733401216678,0.6979191143834365,0.22216130127150727,0.037910237330618,0.009373123417143156,0.03263622359729511,0.022134042010994212,0.8559102988823765,0.29134660890458336,0.11183515963449707,
51095,James City County,Virginia,77733,0.20096998700680535,0.5472321922478227,0.251797820745372,0.7428119331558025,0.12541648977911568,0.06154400319040819,0.02624368029022423,0.04398389358444933,0.01529860679740882,0.9279794125476972,0.5048007809033632,0.2427189635282634,0.8415
51097,King And Queen County,Virginia,6690,0.1881913303437967,0.5789237668161435,0.2328849028400598,0.6600896860986547,0.2423019431988042,0.03452914798206278,0.0,0.06307922272047832,0.029389312977099236,0.8450381679389313,0.21278625954198474,0.05362595419847328,
51099,King George County,Virginia,26597,0.24942662706320262,0.6199571380230853,0.13061623491371208,0.7137271120803098,0.16543219160055644,0.05955558897620032,0.011768244538857766,0.04951686280407565,0.02776046682907484,0.8866919721262252,0.34904537986516343,0.1423715370233981,0.2681
51101,King William County,Virginia,17511,0.22837073839301011,0.6109873793615441,0.16064188224544573,0.7718005824910057,0.151333447547256,0.028610587630632175,0.013705670721260922,0.03454971160984524,0.021775128332505382,0.8673621460506706,0.24921344593475742,0.06375227686703097,0.1679
51103,Lancaster County,Virginia,10916,0.15903261267863686,0.4839684866251374,0.3569989006962257,0.6705753023085379,0.29076584829607915,0.009527299377061194,0.008977647489923048,0.02015390252839868,0.035451197053407,0.8712016574585635,0.33344843462246776,0.15607734806629833,0.0
51109,Louisa County,Virginia,37136,0.20174493752692804,0.6007916846186988,0.19746337785437312,0.7682033606204223,0.13744075829383887,0.03298685911245153,0.005170185264971995,0.05619883670831538,0.03667391544727434,0.8342486454609118,0.2582285945965869,0.10401385868563635,0.0
51111,Lunenburg County,Virginia,11982,0.19629444166249374,0.5842931063261559,0.21941245201135035,0.5862126523118011,0.3329160407277583,0.05499916541478885,0.0035052578868302454,0.022366883658821567,0.06596184785106872,0.687887841875431,0.11755918179728798,0.03907147782119053,0.0
51115,Mathews County,Virginia,8548,0.16331305568554047,0.538020589611605,0.29866635470285446,0.8461628451099672,0.09347215722976135,0.02889564810481984,0.0,0.03146934955545157,0.021283206462637875,0.8820879291595464,0.29889700170887057,0.08000621407487961,0.0
51117,Mecklenburg County,Virginia,30347,0.18766270142023922,0.5579464197449501,0.2543908788348107,0.6030909150822157,0.3389461890796454,0.03031601146736086,0.009391373117606353,0.01825551125317165,0.05355001998135074,0.8076461968829093,0.22348030726877136,0.0815239110163847,0.22190000000000001
51119,Middlesex County,Virginia,10686,0.15141306382182296,0.5290099195208684,0.31957701665730864,0.7780273254725809,0.1461725622309564,0.030320044918585063,0.013943477447127083,0.031536589930750515,0.04562692581180375,0.8391799004503436,0.2712728134629059,0.10049774828158331,0.0
51127,New Kent County,Virginia,22519,0.2003197300057729,0.623739952928638,0.17594031706558905,0.7758781473422444,0.1265153870065278,0.038278786802255875,0.010346818242373107,0.04898086060659887,0.014509470616804274,0.8799781447304517,0.3276469159786304,0.10466245750364254,0.0
51131,Northampton County,Virginia,12226,0.1952396531981024,0.5341894323572713,0.2705709144446262,0.5491575331261247,0.3189105185669884,0.09250777032553574,0.010633077048912155,0.028791100932439063,0.06104938950610494,0.8155318446815532,0.28082719172808274,0.1090089099109009,0.0
