FIPS,Tract,County,State,measure,value
51087200125,Census Tract 2001.25,Henrico County,Virginia,Total,3963.0
51087200126,Census Tract 2001.26,Henrico County,Virginia,Total,3323.0
51087200127,Census Tract 2001.27,Henrico County,Virginia,Total,6107.0
51087200131,Census Tract 2001.31,Henrico County,Virginia,Total,1922.0
51087200132,Census Tract 2001.32,Henrico County,Virginia,Total,4133.0
51087200133,Census Tract 2001.33,Henrico County,Virginia,Total,2670.0
51087200134,Census Tract 2001.34,Henrico County,Virginia,Total,5185.0
51087200135,Census Tract 2001.35,Henrico County,Virginia,Total,2103.0
51087200136,Census Tract 2001.36,Henrico County,Virginia,Total,3112.0
51087200137,Census Tract 2001.37,Henrico County,Virginia,Total,1907.0
51087200138,Census Tract 2001.38,Henrico County,Virginia,Total,4530.0
51087200139,Census Tract 2001.39,Henrico County,Virginia,Total,4089.0
51087200140,Census Tract 2001.40,Henrico County,Virginia,Total,4263.0
51087200141,Census Tract 2001.41,Henrico County,Virginia,Total,2794.0
51087200142,Census Tract 2001.42,Henrico County,Virginia,Total,4110.0
51087200143,Census Tract 2001.43,Henrico County,Virginia,Total,2182.0
51087200144,Census Tract 2001.44,Henrico County,Virginia,Total,3384.0
51087200145,Census Tract 2001.45,Henrico County,Virginia,Total,4941.0
51087200146,Census Tract 2001.46,Henrico County,Virginia,Total,2875.0
51087200147,Census Tract 2001.47,Henrico County,Virginia,Total,7825.0
51087200148,Census Tract 2001.48,Henrico County,Virginia,Total,4611.0
51087200149,Census Tract 2001.49,Henrico County,Virginia,Total,4860.0
51087200150,Census Tract 2001.50,Henrico County,Virginia,Total,4287.0
51087200151,Census Tract 2001.51,Henrico County,Virginia,Total,5997.0
51087200152,Census Tract 2001.52,Henrico County,Virginia,Total,2768.0
51087200153,Census Tract 2001.53,Henrico County,Virginia,Total,4304.0
51087200201,Census Tract 2002.01,Henrico County,Virginia,Total,2807.0
51087200202,Census Tract 2002.02,Henrico County,Virginia,Total,4052.0
51087200301,Census Tract 2003.01,Henrico County,Virginia,Total,1753.0
51087200302,Census Tract 2003.02,Henrico County,Virginia,Total,3289.0
51087200303,Census Tract 2003.03,Henrico County,Virginia,Total,3119.0
51087200305,Census Tract 2003.05,Henrico County,Virginia,Total,4832.0
51087200404,Census Tract 2004.04,Henrico County,Virginia,Total,2728.0
51087200407,Census Tract 2004.07,Henrico County,Virginia,Total,5885.0
51087200409,Census Tract 2004.09,Henrico County,Virginia,Total,3222.0
51087200411,Census Tract 2004.11,Henrico County,Virginia,Total,5042.0
51087200412,Census Tract 2004.12,Henrico County,Virginia,Total,2029.0
51087200413,Census Tract 2004.13,Henrico County,Virginia,Total,4384.0
51087200414,Census Tract 2004.14,Henrico County,Virginia,Total,6189.0
51087200415,Census Tract 2004.15,Henrico County,Virginia,Total,5230.0
51087200416,Census Tract 2004.16,Henrico County,Virginia,Total,5965.0
