FIPS,Tract,County,State,Insurance Coverage,Medicaid Enrollment,Gini Coefficient,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Uninsured
51001090800,Census Tract 908,Accomack County,Virginia,0.9184263812554238,0.28463986115128725,0.4439,44226.0,0.48011363636363635,0.01257396449704142,0.14372716199756394,0.14453781512605043,0.08157361874457625
51001980100,Census Tract 9801,Accomack County,Virginia,1.0,0.0,,,1.0,0.0,,0.0,0.0
51001980200,Census Tract 9802,Accomack County,Virginia,,,,,,,,,
51001990100,Census Tract 9901,Accomack County,Virginia,,,,,,,,,
51001990200,Census Tract 9902,Accomack County,Virginia,,,,,,,,,
51007930101,Census Tract 9301.01,Amelia County,Virginia,0.9482758620689655,0.20689655172413793,0.391,55253.0,0.5356359649122807,0.011258955987717503,0.0,0.08,0.051724137931034475
51007930102,Census Tract 9301.02,Amelia County,Virginia,0.9170822942643392,0.20303408146300914,0.3978,69025.0,0.7144070195301444,0.05388272583201268,0.10817120622568094,0.17032640949554897,0.08291770573566082
51007930200,Census Tract 9302,Amelia County,Virginia,0.9164354496490942,0.09596866329361842,0.4624,51667.0,0.6013363028953229,0.044753086419753084,0.08378870673952642,0.08372093023255814,0.08356455035090582
51011040101,Census Tract 401.01,Appomattox County,Virginia,0.89937106918239,0.1289308176100629,0.394,80956.0,0.7105788423153693,0.028089887640449437,0.12048192771084337,0.1280353200883002,0.10062893081761004
51011040102,Census Tract 401.02,Appomattox County,Virginia,0.9123527800602574,0.33634620651876196,0.4191,48523.0,0.5971755211835911,0.04110360360360361,0.19105199516324062,0.2019704433497537,0.08764721993974256
51011040200,Census Tract 402,Appomattox County,Virginia,0.8925233644859814,0.1579884290164664,0.4401,52422.0,0.6212003117692907,0.03053115851108323,0.054945054945054944,0.09584664536741214,0.10747663551401865
51011040300,Census Tract 403,Appomattox County,Virginia,0.9390547263681592,0.2355721393034826,0.4232,53967.0,0.4911774141803016,0.05551926845199216,0.07050092764378478,0.15500327011118378,0.06094527363184077
51025930100,Census Tract 9301,Brunswick County,Virginia,0.9395285275025623,0.22446190638879399,0.4425,51451.0,0.5690376569037657,0.04338235294117647,0.13815789473684212,0.20218579234972678,0.06047147249743767
51025930201,Census Tract 9302.01,Brunswick County,Virginia,0.967027027027027,0.27783783783783783,0.3209,53942.0,0.3993055555555556,0.037267080745341616,0.062360801781737196,0.21862348178137653,0.03297297297297297
51025930202,Census Tract 9302.02,Brunswick County,Virginia,,,,,0.0,,,,
51025930203,Census Tract 9302.03,Brunswick County,Virginia,0.9620736086175943,0.31889587073608616,0.4547,34444.0,0.6891353811149032,0.08955839867932315,0.28406275805119735,0.28635346756152125,0.03792639138240572
51025930301,Census Tract 9303.01,Brunswick County,Virginia,0.863528009535161,0.22407628128724671,0.4607,56132.0,0.5548567435359888,0.020151133501259445,0.08237986270022883,0.22908093278463648,0.13647199046483904
51025930302,Census Tract 9303.02,Brunswick County,Virginia,0.9471488178025035,0.19471488178025034,0.406,59940.0,0.5571150097465887,0.10286913925822254,0.043478260869565216,0.21156661786237188,0.052851182197496516
51029930101,Census Tract 9301.01,Buckingham County,Virginia,0.8835634985106959,0.25236934741402656,0.4107,45262.0,0.4633825944170772,0.15024805102763997,0.12858555885262116,0.16080055210489994,0.11643650148930407
51029930102,Census Tract 9301.02,Buckingham County,Virginia,0.8815830476784045,0.3000934870676223,0.4383,46953.0,0.5821812596006144,0.07189973614775726,0.06965174129353234,0.15547703180212014,0.11841695232159555
51029930201,Census Tract 9302.01,Buckingham County,Virginia,0.8744486915613054,0.21023228462216995,0.4185,55104.0,0.37877211238293446,0.04120879120879121,0.18963831867057673,0.14890510948905109,0.12555130843869455
