FIPS,County,State,measure,value
51115,Mathews County,Virginia,Economic Segregation,0.013490725126475547
51117,Mecklenburg County,Virginia,Economic Segregation,-0.26297905966021334
51119,Middlesex County,Virginia,Economic Segregation,-0.12513649268399213
51127,New Kent County,Virginia,Economic Segregation,0.1214784493137491
51131,Northampton County,Virginia,Economic Segregation,-0.17630385487528344
51133,Northumberland County,Virginia,Economic Segregation,-0.0834796177101619
51135,Nottoway County,Virginia,Economic Segregation,-0.2350725183650405
51143,Pittsylvania County,Virginia,Economic Segregation,-0.26480963386449335
51145,Powhatan County,Virginia,Economic Segregation,0.18699869427345645
51147,Prince Edward County,Virginia,Economic Segregation,-0.21987909461549277
51149,Prince George County,Virginia,Economic Segregation,-0.011847582452769772
51159,Richmond County,Virginia,Economic Segregation,-0.1447883315546069
51175,Southampton County,Virginia,Economic Segregation,-0.1092928989641195
51177,Spotsylvania County,Virginia,Economic Segregation,0.1361379943267145
51179,Stafford County,Virginia,Economic Segregation,0.28854434090036185
51181,Surry County,Virginia,Economic Segregation,-0.16286764705882353
51183,Sussex County,Virginia,Economic Segregation,-0.18271334792122537
51193,Westmoreland County,Virginia,Economic Segregation,-0.16029467801346373
51199,York County,Virginia,Economic Segregation,0.14711095356256645
51550,Chesapeake City,Virginia,Economic Segregation,0.06710433605851499
51570,Colonial Heights City,Virginia,Economic Segregation,-0.08198258539852646
51590,Danville City,Virginia,Economic Segregation,-0.3590102205486821
51595,Emporia City,Virginia,Economic Segregation,-0.40133928571428573
51620,Franklin City,Virginia,Economic Segregation,-0.2795048934945308
51630,Fredericksburg City,Virginia,Economic Segregation,0.020807287015538488
51650,Hampton City,Virginia,Economic Segregation,-0.13919041949716365
51670,Hopewell City,Virginia,Economic Segregation,-0.2890279426043802
51680,Lynchburg City,Virginia,Economic Segregation,-0.1778568713500812
51690,Martinsville City,Virginia,Economic Segregation,-0.35572842998585574
51700,Newport News City,Virginia,Economic Segregation,-0.1636235017751795
51710,Norfolk City,Virginia,Economic Segregation,-0.16063180335282148
51730,Petersburg City,Virginia,Economic Segregation,-0.3008849557522124
51735,Poquoson City,Virginia,Economic Segregation,0.19904700021659086
51740,Portsmouth City,Virginia,Economic Segregation,-0.224314579928929
51760,Richmond City,Virginia,Economic Segregation,-0.158529057588974
51800,Suffolk City,Virginia,Economic Segregation,-0.007943487758517971
51810,Virginia Beach City,Virginia,Economic Segregation,0.0534889237825198
51830,Williamsburg City,Virginia,Economic Segregation,-0.051485977396400165
51001,Accomack County,Virginia,Racial Economic Segregation,-0.02593273035613341
51007,Amelia County,Virginia,Racial Economic Segregation,0.031791907514450865
51011,Appomattox County,Virginia,Racial Economic Segregation,0.013091967027638598
51025,Brunswick County,Virginia,Racial Economic Segregation,-0.13581710414902626
51029,Buckingham County,Virginia,Racial Economic Segregation,-0.09206848357791754
51031,Campbell County,Virginia,Racial Economic Segregation,0.030076878118958775
51033,Caroline County,Virginia,Racial Economic Segregation,0.06081818181818182
51036,Charles City County,Virginia,Racial Economic Segregation,-0.10607094133697136
51037,Charlotte County,Virginia,Racial Economic Segregation,-0.0729483282674772
51041,Chesterfield County,Virginia,Racial Economic Segregation,0.12921202893033878
51049,Cumberland County,Virginia,Racial Economic Segregation,0.02957393483709273
51053,Dinwiddie County,Virginia,Racial Economic Segregation,0.02795091546552396
51057,Essex County,Virginia,Racial Economic Segregation,-0.08978832286578274
51073,Gloucester County,Virginia,Racial Economic Segregation,0.11020024190297004
51075,Goochland County,Virginia,Racial Economic Segregation,0.2645441083139412
51081,Greensville County,Virginia,Racial Economic Segregation,-0.11530003141690229
51083,Halifax County,Virginia,Racial Economic Segregation,-0.10839626832518881
51085,Hanover County,Virginia,Racial Economic Segregation,0.21736541801041925
51087,Henrico County,Virginia,Racial Economic Segregation,0.07764315102102443
51089,Henry County,Virginia,Racial Economic Segregation,-0.06287775394813803
51093,Isle Of Wight County,Virginia,Racial Economic Segregation,0.10774746066520613
51095,James City County,Virginia,Racial Economic Segregation,0.18404598628479227
51097,King And Queen County,Virginia,Racial Economic Segregation,0.00856225472707813
51099,King George County,Virginia,Racial Economic Segregation,0.18581259925886712
51101,King William County,Virginia,Racial Economic Segregation,0.05174741262936853
51103,Lancaster County,Virginia,Racial Economic Segregation,0.01192995959207235
51109,Louisa County,Virginia,Racial Economic Segregation,0.08885287485907553
51111,Lunenburg County,Virginia,Racial Economic Segregation,-0.08712825278810409
51115,Mathews County,Virginia,Racial Economic Segregation,0.12731871838111297
51117,Mecklenburg County,Virginia,Racial Economic Segregation,-0.08557882259976295
