FIPS,County,State,measure,value
51570,Colonial Heights City,Virginia,18 to 64,0.5786947647156175
51590,Danville City,Virginia,18 to 64,0.5758529937024156
51595,Emporia City,Virginia,18 to 64,0.5464329109529595
51620,Franklin City,Virginia,18 to 64,0.543823493756819
51630,Fredericksburg City,Virginia,18 to 64,0.6805580333250081
51650,Hampton City,Virginia,18 to 64,0.6335010384064118
51670,Hopewell City,Virginia,18 to 64,0.5955690703735882
51680,Lynchburg City,Virginia,18 to 64,0.6688741721854304
51690,Martinsville City,Virginia,18 to 64,0.5731671119026417
51700,Newport News City,Virginia,18 to 64,0.6365787895325528
51710,Norfolk City,Virginia,18 to 64,0.6908273109877765
51730,Petersburg City,Virginia,18 to 64,0.6139516687231034
51735,Poquoson City,Virginia,18 to 64,0.5871426263931514
51740,Portsmouth City,Virginia,18 to 64,0.617829950540768
51760,Richmond City,Virginia,18 to 64,0.6940303798365799
51800,Suffolk City,Virginia,18 to 64,0.615366470815285
51810,Virginia Beach City,Virginia,18 to 64,0.6343929309659178
51830,Williamsburg City,Virginia,18 to 64,0.7259951630825544
51001,Accomack County,Virginia,Over 64,0.24143404816101594
51007,Amelia County,Virginia,Over 64,0.19304084720121029
51011,Appomattox County,Virginia,Over 64,0.20312987093958476
51025,Brunswick County,Virginia,Over 64,0.20961106955871353
51029,Buckingham County,Virginia,Over 64,0.1943916349809886
51031,Campbell County,Virginia,Over 64,0.19911599827511858
51033,Caroline County,Virginia,Over 64,0.16068824730242054
51036,Charles City County,Virginia,Over 64,0.24952325069678744
51037,Charlotte County,Virginia,Over 64,0.21912968548039638
51041,Chesterfield County,Virginia,Over 64,0.14997581976553512
51049,Cumberland County,Virginia,Over 64,0.2229806598407281
51053,Dinwiddie County,Virginia,Over 64,0.1754636233951498
51057,Essex County,Virginia,Over 64,0.22992185293286885
51073,Gloucester County,Virginia,Over 64,0.1926346343233297
51075,Goochland County,Virginia,Over 64,0.22588477366255144
51081,Greensville County,Virginia,Over 64,0.15202791103358046
51083,Halifax County,Virginia,Over 64,0.24190721047095945
51085,Hanover County,Virginia,Over 64,0.17869305697963966
51087,Henrico County,Virginia,Over 64,0.15522529253684578
51089,Henry County,Virginia,Over 64,0.23775867807428
51093,Isle Of Wight County,Virginia,Over 64,0.18910733401216678
51095,James City County,Virginia,Over 64,0.251797820745372
51097,King And Queen County,Virginia,Over 64,0.2328849028400598
51099,King George County,Virginia,Over 64,0.13061623491371208
51101,King William County,Virginia,Over 64,0.16064188224544573
51103,Lancaster County,Virginia,Over 64,0.3569989006962257
51109,Louisa County,Virginia,Over 64,0.19746337785437312
51111,Lunenburg County,Virginia,Over 64,0.21941245201135035
51115,Mathews County,Virginia,Over 64,0.29866635470285446
51117,Mecklenburg County,Virginia,Over 64,0.2543908788348107
51119,Middlesex County,Virginia,Over 64,0.31957701665730864
51127,New Kent County,Virginia,Over 64,0.17594031706558905
51131,Northampton County,Virginia,Over 64,0.2705709144446262
51133,Northumberland County,Virginia,Over 64,0.3881320518178019
51135,Nottoway County,Virginia,Over 64,0.18778323865449673
51143,Pittsylvania County,Virginia,Over 64,0.2280834415531044
51145,Powhatan County,Virginia,Over 64,0.18849861569765503
51147,Prince Edward County,Virginia,Over 64,0.16210535934573034
51149,Prince George County,Virginia,Over 64,0.14100071140621295
51159,Richmond County,Virginia,Over 64,0.20770613345315658
51175,Southampton County,Virginia,Over 64,0.20151985799866873
51177,Spotsylvania County,Virginia,Over 64,0.14237542691688387
51179,Stafford County,Virginia,Over 64,0.10447199813234417
51181,Surry County,Virginia,Over 64,0.227792168215755
51183,Sussex County,Virginia,Over 64,0.17627737226277373
51193,Westmoreland County,Virginia,Over 64,0.254256712508186
51199,York County,Virginia,Over 64,0.16371077762619374
51550,Chesapeake City,Virginia,Over 64,0.1330976000517858
51570,Colonial Heights City,Virginia,Over 64,0.1882275059303801
51590,Danville City,Virginia,Over 64,0.2030031017952815
51595,Emporia City,Virginia,Over 64,0.16646415552855406
51620,Franklin City,Virginia,Over 64,0.1988119772093587
51630,Fredericksburg City,Virginia,Over 64,0.11007243015663468
51650,Hampton City,Virginia,Over 64,0.15278468423669817
51670,Hopewell City,Virginia,Over 64,0.14609035621198957
51680,Lynchburg City,Virginia,Over 64,0.13993390145999265
51690,Martinsville City,Virginia,Over 64,0.174235678242802
51700,Newport News City,Virginia,Over 64,0.12944361292274773
51710,Norfolk City,Virginia,Over 64,0.11273244018176026
51730,Petersburg City,Virginia,Over 64,0.1675945710072527
51735,Poquoson City,Virginia,Over 64,0.19374899047003716
