FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
51087200418,Census Tract 2004.18,Henrico County,Virginia,8.26860739726027,0.172158154859967,0.273649109,40.0,0.4,10452.25653307292,75.43278551406361,4.63585863e-07,0.504861288347575,0.780501954035014,0.724209427133312,58.31292,3.048173566845808
51087200501,Census Tract 2005.01,Henrico County,Virginia,8.30599917808219,0.547520661157024,0.312869993,40.0,0.4,11177.508798860206,335.18984579193807,1.214721789e-06,0.217557764943209,0.357131617839158,1.648220419904686,58.60072,5.724703983886815
51087200502,Census Tract 2005.02,Henrico County,Virginia,8.31995150684932,0.756339581036383,0.356550851,40.0,0.4,12682.249839871307,149.76608227919448,1.693340413e-06,0.279400806320305,0.681474306897998,1.399838650806006,58.66977,4.419315681317444
51087200503,Census Tract 2005.03,Henrico County,Virginia,8.25985863013699,0.311672683513838,0.25303773,40.0,0.4,12364.613632396267,89.01925882182665,1.745135808e-06,0.845727522231279,1.000247131669286,0.640979222425239,58.2604,3.316326064299779
51087200600,Census Tract 2006,Henrico County,Virginia,8.29788630136986,0.686291000841043,0.34932566,40.0,0.4,14086.78770108188,95.25231858192048,2.465848897e-06,0.295765551775119,0.656673985741297,1.245170337288964,58.50042,2.361380618729628
51087200700,Census Tract 2007,Henrico County,Virginia,8.29876273972603,0.408323959505061,0.35828534,40.0,0.4,16520.687459576664,553.7416080105834,2.909119976e-06,0.210374042995929,0.329135640189959,1.251583019545726,58.63189,6.269915050400543
51087200801,Census Tract 2008.01,Henrico County,Virginia,8.27700547945205,0.229974160206718,0.270537034,40.0,0.4,15227.38480901308,101.66132318909628,4.22613256e-07,0.360354057106421,0.390722919339774,1.780839528239001,58.30803,2.875529717653091
51087200802,Census Tract 2008.02,Henrico County,Virginia,8.27430273972603,0.460762331838565,0.288994207,40.0,0.4,18400.07361229927,214.82003835857665,8.01474343e-07,0.202751922492701,0.478241206456204,0.553747660927007,58.48388,2.932245674266423
51087200805,Census Tract 2008.05,Henrico County,Virginia,8.26715452054795,0.367737525632262,0.251853424,40.0,0.4,24606.303090084915,156.53119697214268,1.6671135478e-05,0.116717695578828,0.182249256742429,1.190521318314181,58.79991,3.810534087748938
51087200806,Census Tract 2008.06,Henrico County,Virginia,8.25973150684931,0.077747989276139,0.255991852,40.0,0.4,21601.78568,100.1755058,2.41781e-07,0.147737707,0.296628258,0.814484957,58.61546,6.804287909
51087200807,Census Tract 2008.07,Henrico County,Virginia,8.25973150684931,0.100767754318618,0.255991852,40.0,0.4,21734.86379236261,327.1191647990946,5.76699851e-07,0.14904525518964,0.346237280067342,0.562995438210135,58.61546,2.610942330797973
51087200904,Census Tract 2009.04,Henrico County,Virginia,8.2145,0.115177971793149,0.287401224,40.0,0.4,18595.24950883428,179.3376639621326,0.000201037861762,0.159550513733226,0.411867958591916,0.368207964787551,58.2859,0.70766738849232
51087200905,Census Tract 2009.05,Henrico County,Virginia,8.22277589041096,0.052060737527115,0.245269793,40.0,0.4,13962.601151963587,64.7888026042794,5.9267646214e-05,0.4079716319561,0.272406151570359,0.719015082081334,58.07775,2.511444382819806
51087200906,Census Tract 2009.06,Henrico County,Virginia,8.17162547945206,0.203324099722991,0.212566637,30.0,0.4,12175.268536804419,83.2002227980626,8.488378793e-05,0.473816292827128,0.243412050112111,0.329989703475655,57.83599,1.721262383105974
51087200907,Census Tract 2009.07,Henrico County,Virginia,8.16307123287671,0.058672156459084,0.278248087,40.0,0.4,14021.407912136827,158.0665697672743,0.000226894011041,0.199585619053042,0.236243922169734,0.683287506270188,57.91243,0.624303384037454
51087200908,Census Tract 2009.08,Henrico County,Virginia,8.16307123287671,0.340019102196752,0.278248087,40.0,0.4,15845.856328914284,419.20948889942855,5.4046388571e-05,0.238651485411429,0.237458991085714,0.689994899645714,57.91243,3.382559725005714
51087201001,Census Tract 2010.01,Henrico County,Virginia,8.20769123287671,0.204260174971472,0.252169081,60.0,0.4,36063.740712593295,81.00641661102077,5.8998956216e-05,0.081684227675917,0.169009431009088,0.249055688303635,58.87534,1.18743216874862
51087201002,Census Tract 2010.02,Henrico County,Virginia,8.24994630136986,0.631067961165048,0.285519712,50.0,0.4,32968.280303576495,176.45354522042555,5.2544188686e-05,0.088536086182371,0.15650914872104,0.653838505621074,59.13688,2.09910428478048
51087201003,Census Tract 2010.03,Henrico County,Virginia,8.24535123287671,0.337030411449016,0.296777952,50.0,0.4,38711.39971285952,126.69019448342044,1.5401393223e-05,0.078756770482523,0.143206214291112,0.91508243473502,59.23577,2.485056415857024
51087201102,Census Tract 2011.02,Henrico County,Virginia,8.26442136986301,0.302611367127496,0.250878473,90.0,0.4,62401.50842751359,160.52760003656107,3.255547771e-06,0.075093741014654,0.836152505435122,1.858499908553533,59.2947,2.648094689150556
51087201103,Census Tract 2011.03,Henrico County,Virginia,8.2279095890411,0.102027027027027,0.279762503,60.0,0.4,54751.49532211732,126.09503024780447,2.877641514e-06,0.066520950882123,0.251653815795251,1.04120252062486,59.22091,3.067562452225977
51087201104,Census Tract 2011.04,Henrico County,Virginia,8.2279095890411,0.197711379529561,0.279762503,60.0,0.4,54681.69474538613,149.9384951814378,2.371130831e-06,0.068790603308902,0.340135056200225,1.281909480609941,59.22091,2.992510130973322
51087201203,Census Tract 2012.03,Henrico County,Virginia,8.12758,0.277516462841016,0.27389809,70.0,0.4,57552.27161925567,30.444159660572808,2.9783532589e-05,0.059746121832362,0.33433995689644,1.138687797227508,58.78078,0.883247299742071
51087201204,Census Tract 2012.04,Henrico County,Virginia,8.12758,0.446494464944649,0.27389809,70.0,0.4,65500.56202319919,54.771309094773294,2.4594421803e-05,0.055964944341314,0.810678053384106,1.407501959488538,58.78078,2.366562516687213
51087201205,Census Tract 2012.05,Henrico County,Virginia,8.16254767123288,0.263157894736842,0.25029954,80.0,0.4,80717.14672765798,47.80533616633592,1.1549914243e-05,0.058728586790188,0.98552270479296,2.331171005488359,58.91732,2.570839574330654
51087201206,Census Tract 2012.06,Henrico County,Virginia,8.16254767123288,0.017907634307257,0.25029954,80.0,0.4,81692.47457199168,30.605177880041488,2.054096473e-05,0.060437916883817,0.814474189925311,2.72894200139834,58.91732,1.568565661186722
51087201403,Census Tract 2014.03,Henrico County,Virginia,7.97803095890411,0.087318087318087,0.220292853,60.0,0.4,38371.36528149359,92.33488279938808,3.16064838e-05,0.053414411309508,1.506159767914194,1.116736121208024,58.58869,1.499676727582603
51087201404,Census Tract 2014.04,Henrico County,Virginia,7.94715726027397,0.177241740954378,0.164939391,50.0,0.4,14452.323715500926,37.79388441183102,3.9672001597e-05,0.049032592383333,0.307865181280787,0.611267378584259,58.44704,0.369301338390278
51087201405,Census Tract 2014.05,Henrico County,Virginia,8.21315506849315,0.054001928640308,0.239570973,200.0,0.4,82192.0472,66.41840187,1.19875e-05,0.063937499,0.757945708,2.735580265,59.12619,2.051651093
51087201406,Census Tract 2014.06,Henrico County,Virginia,8.21315506849315,0.223628691983122,0.239570973,200.0,0.4,150830.797372043,120.01488286608296,5.171981774e-06,0.069851119973886,2.517589562038403,4.182423237725039,59.12619,7.208981308891705
51087201502,Census Tract 2015.02,Henrico County,Virginia,8.17842328767123,0.08785046728972,0.20629004,60.0,0.4,38502.10426756005,33.99954550024562,3.435267209e-05,0.08971009474842,0.310197345031606,0.362733448405093,59.11337,0.548059742510385
51087201503,Census Tract 2015.03,Henrico County,Virginia,8.28256684931507,0.149042464612822,0.233687027,90.0,0.4,39589.800110656775,17.457267438339123,0.000213274237291,0.101817617204136,0.859564281256868,1.494306570710925,59.32977,0.523727338120461
51087201504,Census Tract 2015.04,Henrico County,Virginia,8.28256684931507,0.250545851528384,0.233687027,90.0,0.4,91983.33475854756,57.451704279296045,5.25861019e-07,0.092692002435286,1.328916295782134,1.640185365964134,59.32977,1.887200358694364
51087201601,Census Tract 2016.01,Henrico County,Virginia,7.98957178082192,0.133544303797468,0.14268469,50.0,0.4,16335.294241991678,1.801225199362069,2.6989491677e-05,0.057735118808561,0.109536905074316,0.197846292812128,58.75049,0.247939800583829
51087201602,Census Tract 2016.02,Henrico County,Virginia,8.24432410958904,0.203646064917741,0.206645643,60.0,0.4,30895.525224416888,48.280541069002695,0.000549219525236,0.131800076928661,0.723193915683199,1.382653394900988,59.51131,0.510559495220126
51087201701,Census Tract 2017.01,Henrico County,Virginia,8.10276465753425,0.562732919254658,0.228858785,70.0,0.4,42567.73665475372,149.69578971906958,8.575405246e-06,0.059093778827209,1.571760044025019,1.685011247278603,58.74315,3.716582580775866
51087980100,Census Tract 9801,Henrico County,Virginia,8.16185452054795,0.0,,,,0.0,,,0.0,0.0,0.0,59.0543,0.0
51089010100,Census Tract 101,Henry County,Virginia,7.47368043835616,0.188865764828303,0.15020972,30.0,0.3,54.441569527488966,44.09624079729702,0.003611099300241,0.010911757846693,0.100272449561349,1.491501372611933,57.90891,3.339640953589624
51089010200,Census Tract 102,Henry County,Virginia,7.44243767123288,0.276729559748427,0.135477253,30.0,0.3,54.193038426404,42.5948231133242,0.000380454679038,0.010803242265741,0.101356088969691,2.276290058872898,57.8413,2.344720539739147
51089010300,Census Tract 103,Henry County,Virginia,7.49797484931507,0.172972972972973,0.101097479,30.0,0.3,80.92241353572086,14.551097434927051,0.000672018987938,0.011829472643883,0.165018242232051,1.009186783105686,57.97167,0.708890623834578
51089010400,Census Tract 104,Henry County,Virginia,7.51097665753425,0.082156611039795,0.086538537,30.0,0.3,74.1934142150995,12.111574592726368,0.004538862410448,0.01284554002073,0.091808100517413,0.090846643305141,58.0151,0.245373874802653
51089010500,Census Tract 105,Henry County,Virginia,7.66865369863014,0.111794871794871,0.10311995,30.0,0.3,162.37538548292238,6.599717839783805,0.00221331869115,0.012933089024397,0.197541903911757,0.116832116500389,58.6167,0.154110627194394
51089010601,Census Tract 106.01,Henry County,Virginia,7.58335120547945,0.212319790301441,0.143491041,30.0,0.3,124.58301192322152,35.19690582668264,0.002708180978253,0.011543221374125,0.245958322621084,0.216336126281607,58.36497,1.450522097038334
51089010602,Census Tract 106.02,Henry County,Virginia,7.63194123287671,0.248116254036598,0.119665256,30.0,0.3,161.9434037569262,38.4166918774351,0.003879693460036,0.011859470717296,0.20757347798715,0.204355748914932,58.59806,1.094294121038808
51089010700,Census Tract 107,Henry County,Virginia,7.52005717808219,0.28656518861681,0.088849442,30.0,0.3,102.27659274301344,16.1072268380003,0.000362699256322,0.012339825037967,0.090256930748879,0.09260172862003,58.36228,0.218952394552466
51089010800,Census Tract 108,Henry County,Virginia,7.50030769863014,0.307692307692307,0.133863339,30.0,0.3,84.47561913501679,24.941813068372483,0.005424268368289,0.011375959805369,0.114243438559564,0.413530256755872,58.03611,0.351505026133389
51089010900,Census Tract 109,Henry County,Virginia,7.36687915068493,0.216516308119361,0.07726596,30.0,0.3,69.20379623971371,6.878262459284294,0.000572064685487,0.012126903050895,0.079228024735984,0.120830595376938,58.03551,0.30581921824493
51089011000,Census Tract 110,Henry County,Virginia,7.21746306849315,0.274186908192671,0.075078368,20.0,0.3,44.97897617691366,3.735348430293814,0.001038725067655,0.011806205067655,0.115901892865979,0.261823585010954,57.65358,0.305103953224227
51089011100,Census Tract 111,Henry County,Virginia,7.293772,0.467224546722454,0.118991458,30.0,0.3,47.904670864401055,30.167579783884428,0.012288285892533,0.010918258231535,0.198069442877153,0.981683503391504,57.66524,1.262262089624952
51089011200,Census Tract 112,Henry County,Virginia,7.09668389041096,0.10635838150289,0.076318462,20.0,0.3,24.40407191691164,6.815553457578197,0.002951037154267,0.011438665017613,0.266805695310355,0.125110732465837,57.57036,0.719970447912845
51089011300,Census Tract 113,Henry County,Virginia,7.28878443835616,0.203141928494041,0.095882826,20.0,0.3,28.96281994281549,15.336089209113547,0.00090326699802,0.010637826918194,0.249276332975484,0.455943386420129,57.66411,0.378571619123355
51093280101,Census Tract 2801.01,Isle Of Wight County,Virginia,7.09577945205479,0.189473684210526,0.104428887,20.0,0.3,679.0768452528241,4.100883074516309,0.000409022296473,0.082848297156457,0.474873846267833,0.088909550996553,56.60618,0.085709823363829
51093280104,Census Tract 2801.04,Isle Of Wight County,Virginia,7.14242082191781,0.097010716300056,0.134696739,20.0,0.3,1175.813173054742,17.57746817822212,4.285357078e-06,0.075665891368326,0.631564344645641,0.072929645020951,57.31665,0.572001393944357
51093280105,Census Tract 2801.05,Isle Of Wight County,Virginia,7.12934602739726,0.18444666001994,0.14782898,30.0,0.3,916.6681219110862,52.329122859532994,3.597238272e-06,0.088315620175431,0.497371537860914,0.061977207859289,56.8497,1.078959280619492
51093280106,Census Tract 2801.06,Isle Of Wight County,Virginia,7.15901917808219,0.0,0.127780394,20.0,0.3,1043.1930758843555,21.871514203857004,2.974473355e-06,0.087675969173827,0.254847568874713,0.071719034822237,57.3014,2.415912239877993
51093280107,Census Tract 2801.07,Isle Of Wight County,Virginia,7.18234739726027,0.038142620232172,0.155890376,20.0,0.3,1928.2067572817764,27.508530246830013,0.000417339894334,0.121259270356815,0.115737820474732,0.106517578350689,57.63655,0.297360612422665
51093280108,Census Tract 2801.08,Isle Of Wight County,Virginia,7.18234739726027,0.114795918367346,0.155890376,20.0,0.3,1721.1865683732365,64.53401207037624,0.000542264621206,0.09016823045575,0.116509969265926,0.105838402654553,57.63655,0.236961473403164
51093280200,Census Tract 2802,Isle Of Wight County,Virginia,7.1020197260274,0.141212121212121,0.100250789,20.0,0.3,495.54331046547617,4.129782997922751,8.703739257e-06,0.13233139747328,0.100676033965873,0.053697944759259,56.32291,0.005087992864815
51093280300,Census Tract 2803,Isle Of Wight County,Virginia,7.10450219178082,0.234745762711864,0.107252433,20.0,0.3,337.15288189903293,25.491009643578543,2.617832381e-05,0.068626435713556,0.057585755545156,0.041770808015143,56.00603,0.172904330639847
51093280400,Census Tract 2804,Isle Of Wight County,Virginia,7.08877616438356,0.187569367369589,0.106570603,20.0,0.3,878.0470402138548,6.721329998668967,1.9745969504e-05,0.038549994947342,0.254236728435327,0.062665101142382,55.94338,0.103582696244376
51095080102,Census Tract 801.02,James City County,Virginia,7.09633342465753,0.028720626631854,0.1571846,30.0,0.3,2293.5358865841463,122.14304202743692,0.134125240680038,0.245114007355032,0.457704186025222,0.198502615361038,56.74312,1.02568723162503
